PharmGKB Accession Id	NCBI Gene ID	HGNC ID	Ensembl Id	Name	Symbol	Alternate Names	Alternate Symbols	Is VIP	Has Variant Annotation	Cross-references	Has CPIC Dosing Guideline	Chromosome	Chromosomal Start - GRCh37	Chromosomal Stop - GRCh37	Chromosomal Start - GRCh38	Chromosomal Stop - GRCh38
PA24356	1	HGNC:5	ENSG00000121410	alpha-1-B glycoprotein	A1BG			Yes	No	Comparative Toxicogenomics Database:1, Ensembl:ENSG00000121410, GenAtlas:A1BG, GeneCard:A1BG, HGNC:HGNC:5, HumanCyc Gene:HS04495, ModBase:P04217, NCBI Gene:1, OMIM:138670, RefSeq DNA:NT_011109, RefSeq Protein:NP_570602, RefSeq RNA:NM_130786, UCSC Genome Browser:NM_130786, UniProtKB:P04217	No	chr19	58858172	58864865	58346806	58353499
PA165392995	503538	HGNC:37133	ENSG00000268895	A1BG antisense RNA 1	A1BG-AS1		FLJ23569	Yes	No	Ensembl:ENSG00000268895, GeneCard:A1BG-AS1, HGNC:HGNC:37133, NCBI Gene:503538, RefSeq DNA:NT_011109, RefSeq RNA:NR_015380	No	chr19	58863336	58866549	58351970	58355183
PA162375098	29974	HGNC:24086	ENSG00000148584	APOBEC1 complementation factor	A1CF		ACF, ACF64, ACF65, APOBEC1CF, ASP	Yes	No	Ensembl:ENSG00000148584, GeneCard:A1CF, HGNC:HGNC:24086, HumanCyc Gene:HS07539, ModBase:Q9NQ94, NCBI Gene:29974, RefSeq DNA:NT_030059, RefSeq Protein:NP_001185747, RefSeq Protein:NP_001185748, RefSeq Protein:NP_001185749, RefSeq Protein:NP_055391, RefSeq Protein:NP_620310, RefSeq Protein:NP_620311, RefSeq RNA:NM_001198818, RefSeq RNA:NM_001198819, RefSeq RNA:NM_001198820, RefSeq RNA:NM_014576, RefSeq RNA:NM_138932, RefSeq RNA:NM_138933, UniProtKB:Q9NQ94	No	chr10	52559169	52645435	50799409	50885681
PA24357	2	HGNC:7	ENSG00000175899	alpha-2-macroglobulin	A2M		CPAMD5, FWP007, S863-7	Yes	Yes	Comparative Toxicogenomics Database:2, Ensembl:ENSG00000175899, GenAtlas:A2M, GeneCard:A2M, HGNC:HGNC:7, ModBase:P01023, NCBI Gene:2, OMIM:103950, OMIM:104300, RefSeq DNA:NG_011717, RefSeq DNA:NT_009714, RefSeq Protein:NP_000005, RefSeq RNA:NM_000014, UCSC Genome Browser:NM_000014, UniProtKB:P01023	No	chr12	9220304	9268558	9067708	9115962
PA142670460	144568	HGNC:23336	ENSG00000166535	alpha-2-macroglobulin like 1	A2ML1	alpha-2-macroglobulin-like 1	CPAMD9, FLJ25179, p170	Yes	No	Ensembl:ENSG00000166535, GeneCard:A2ML1, HGNC:HGNC:23336, NCBI Gene:144568, OMIM:610627, RefSeq DNA:NT_009714, RefSeq Protein:NP_653271, RefSeq RNA:NM_144670, UniProtKB:B3KVV6	No	chr12	8975150	9029381	8822472	8887202
PA24358	3	HGNC:8	ENSG00000256069	alpha-2-macroglobulin pseudogene 1	A2MP1			Yes	No	Ensembl:ENSG00000256069, GenAtlas:A2MP, GeneCard:A2MP1, HGNC:HGNC:8, NCBI Gene:3, RefSeq DNA:NG_001067, RefSeq DNA:NT_009714, RefSeq RNA:NR_040112	No	chr12	9381129	9386803	9228533	9234207
PA142670461	127550	HGNC:30005	ENSG00000184389	alpha 1,3-galactosyltransferase 2	A3GALT2	iGb3 synthase, isoglobotriaosylceramide synthase	A3GALT2P, IGB3S, IGBS3S	Yes	No	Ensembl:ENSG00000184389, GeneCard:A3GALT2P, HGNC:HGNC:30005, ModBase:Q5T0B8, NCBI Gene:127550, RefSeq DNA:NG_012483, RefSeq DNA:NT_032977, RefSeq Protein:NP_001073907, RefSeq RNA:NM_001080438	No	chr1	33772367	33786699	33306766	33321098
PA24359	53947	HGNC:18149	ENSG00000128274	alpha 1,4-galactosyltransferase (P1PK blood group)	A4GALT	"""CD77 synthase"", ""Gb3 synthase"", ""alpha 1,4-galactosyltransferase"", ""alpha 1,4-galactosyltransferase (P blood group)"", ""globotriaosylceramide synthase"", ""lactosylceramide 4-alpha-galactosyltransferase"""	A14GALT, Gb3S, P(k), P1	Yes	No	Ensembl:ENSG00000128274, GenAtlas:A4GALT, GeneCard:A4GALT, HGNC:HGNC:18149, HumanCyc Gene:HS05171, NCBI Gene:53947, OMIM:111400, OMIM:607922, RefSeq DNA:NG_007495, RefSeq DNA:NT_011520, RefSeq Protein:NP_059132, RefSeq RNA:NM_017436, UCSC Genome Browser:NM_017436, UniProtKB:Q9NPC4	No	chr22	43088123	43117307	42692115	42721301
PA134960042	51146	HGNC:17968	ENSG00000118017	alpha-1,4-N-acetylglucosaminyltransferase	A4GNT		alpha4GnT	Yes	No	Ensembl:ENSG00000118017, GeneCard:A4GNT, HGNC:HGNC:17968, HumanCyc Gene:HS04186, ModBase:Q9UNA3, NCBI Gene:51146, RefSeq DNA:NT_005612, RefSeq Protein:NP_057245, RefSeq RNA:NM_016161, UniProtKB:Q9UNA3	No	chr3	137842560	137851229	138123718	138133310
PA24361	8086	HGNC:13666	ENSG00000094914	aladin WD repeat nucleoporin	AAAS	"""Allgrove, triple-A"", ""achalasia, adrenocortical insufficiency, alacrimia"", ""adracalin"", ""aladin"""		Yes	No	Comparative Toxicogenomics Database:8086, Ensembl:ENSG00000094914, GenAtlas:AAAS, GeneCard:AAAS, HGNC:HGNC:13666, HumanCyc Gene:HS01805, ModBase:Q9NRG9, NCBI Gene:8086, OMIM:231550, OMIM:605378, RefSeq DNA:NG_016775, RefSeq DNA:NT_029419, RefSeq Protein:NP_001166937, RefSeq Protein:NP_056480, RefSeq RNA:NM_001173466, RefSeq RNA:NM_015665, UCSC Genome Browser:NM_015665, UniProtKB:Q5JB47, UniProtKB:Q9NRG9	No	chr12	53701240	53715412	53307456	53321628
PA134940696	65985	HGNC:21298	ENSG00000081760	acetoacetyl-CoA synthetase	AACS	acyl-CoA synthetase family member 1	ACSF1, FLJ12389, SUR-5	Yes	No	Comparative Toxicogenomics Database:65985, Ensembl:ENSG00000081760, GeneCard:AACS, HGNC:HGNC:21298, HumanCyc Gene:HS01400, ModBase:Q9HA19, NCBI Gene:65985, RefSeq DNA:NT_009755, RefSeq Protein:NP_076417, RefSeq RNA:NM_023928, UniProtKB:Q86V21	No	chr12	125549925	125627879	125065367	125143333
PA134883395	729522	HGNC:18226	ENSG00000250420	acetoacetyl-CoA synthetase pseudogene 1	AACSP1			Yes	No	Ensembl:ENSG00000250420, GeneCard:AACSP1, HGNC:HGNC:18226, NCBI Gene:729522, RefSeq DNA:NT_023133, RefSeq RNA:NR_024035	No	chr5	178191862	178203277	178764861	178818435
PA24363	13	HGNC:17	ENSG00000114771	arylacetamide deacetylase	AADAC		CES5A1, DAC	Yes	Yes	Comparative Toxicogenomics Database:13, Ensembl:ENSG00000114771, GenAtlas:AADAC, GeneCard:AADAC, HGNC:HGNC:17, HumanCyc Gene:HS03797, ModBase:P22760, NCBI Gene:13, OMIM:600338, RefSeq DNA:NT_005612, RefSeq Protein:NP_001077, RefSeq RNA:NM_001086, UCSC Genome Browser:NM_001086, UniProtKB:P22760	No	chr3	151531769	151546276	151814008	151828488
PA142670463	344752	HGNC:24427	ENSG00000197953	arylacetamide deacetylase like 2	AADACL2	arylacetamide deacetylase-like 2	MGC72001	Yes	No	Ensembl:ENSG00000197953, GeneCard:AADACL2, HGNC:HGNC:24427, NCBI Gene:344752, RefSeq DNA:NT_005612, RefSeq Protein:NP_997248, RefSeq RNA:NM_207365, UniProtKB:Q6P093	No	chr3	151451704	151475556	151733916	151758016
PA145147526	126767	HGNC:32037	ENSG00000188984	arylacetamide deacetylase like 3	AADACL3	arylacetamide deacetylase-like 3	OTTHUMG00000001887	Yes	No	Ensembl:ENSG00000188984, GeneCard:AADACL3, HGNC:HGNC:32037, NCBI Gene:126767, RefSeq DNA:NT_021937, RefSeq Protein:NP_001096639, RefSeq Protein:NP_001096640, RefSeq RNA:NM_001103169, RefSeq RNA:NM_001103170, UniProtKB:Q5VUY0	No	chr1	12776118	12788726	12716115	12728759
PA145147537	343066	HGNC:32038	ENSG00000204518	arylacetamide deacetylase like 4	AADACL4	arylacetamide deacetylase-like 4	OTTHUMG00000001889	Yes	No	Ensembl:ENSG00000204518, GeneCard:AADACL4, HGNC:HGNC:32038, ModBase:Q5VUY2, NCBI Gene:343066, RefSeq DNA:NT_021937, RefSeq Protein:NP_001013652, RefSeq RNA:NM_001013630, UniProtKB:Q5VUY2	No	chr1	12704566	12727097	12644547	12667086
PA24364	51166	HGNC:17929	ENSG00000109576	aminoadipate aminotransferase	AADAT	L kynurenine/alpha aminoadipate aminotransferase, kynurenine aminotransferase II	KAT2, KATII, KYAT2	Yes	No	Comparative Toxicogenomics Database:51166, Ensembl:ENSG00000109576, GenAtlas:AADAT, GeneCard:AADAT, HGNC:HGNC:17929, HumanCyc Gene:HS03239, ModBase:Q8N5Z0, NCBI Gene:51166, OMIM:611754, RefSeq DNA:NT_016354, RefSeq Protein:NP_057312, RefSeq Protein:NP_872603, RefSeq RNA:NM_016228, RefSeq RNA:NM_182662, UCSC Genome Browser:NM_016228, UniProtKB:Q4W5N8, UniProtKB:Q8N5Z0	No	chr4	170981373	171012823	170060222	170091699
PA165478457	79719	HGNC:25662	ENSG00000103591	alpha and gamma adaptin binding protein	AAGAB	alpha- and gamma-adaptin binding protein	FLJ11506, p34	Yes	No	Ensembl:ENSG00000103591, GeneCard:AAGAB, HGNC:HGNC:25662, HumanCyc Gene:HS12530, NCBI Gene:79719, RefSeq DNA:NT_010194, RefSeq Protein:NP_078942, RefSeq RNA:NM_024666, UniProtKB:Q6PD74	No	chr15	67493013	67547536	67200675	67255198
PA134990616	22848	HGNC:19679	ENSG00000115977	AP2 associated kinase 1	AAK1		DKFZp686K16132, KIAA1048	Yes	No	Comparative Toxicogenomics Database:22848, Ensembl:ENSG00000115977, GeneCard:AAK1, HGNC:HGNC:19679, HumanCyc Gene:HS03963, ModBase:Q2M2I8, NCBI Gene:22848, RefSeq DNA:NT_022184, RefSeq Protein:NP_055726, RefSeq RNA:NM_014911, UniProtKB:Q2M2I8	No	chr2	69685127	69901566	69457995	69643845
PA144596486	28971	HGNC:30205	ENSG00000087884	adipogenesis associated Mth938 domain containing	AAMDC	adipogenesis associated, Mth938 domain containing	C11orf67, CK067, FLJ21035, PTD015	Yes	No	Ensembl:ENSG00000087884, GeneCard:C11orf67, HGNC:HGNC:30205, HumanCyc Gene:HS01583, ModBase:Q9H7C9, NCBI Gene:28971, RefSeq DNA:NT_167190, RefSeq Protein:NP_078960, RefSeq RNA:NM_024684, UniProtKB:Q9H7C9	No	chr11	77532147	77583398	77821114	77901281
PA24365	14	HGNC:18	ENSG00000127837	angio associated migratory cell protein	AAMP	angio-associated, migratory cell protein		Yes	No	Comparative Toxicogenomics Database:14, Ensembl:ENSG00000127837, GenAtlas:AAMP, GeneCard:AAMP, HGNC:HGNC:18, HumanCyc Gene:HS05129, ModBase:Q13685, NCBI Gene:14, OMIM:603488, RefSeq DNA:NT_005403, RefSeq Protein:NP_001078, RefSeq RNA:NM_001087, UCSC Genome Browser:NM_001087, UniProtKB:Q13685	No	chr2	219128852	219134893	218264129	218270209
PA24366	15	HGNC:19	ENSG00000129673	aralkylamine N-acetyltransferase	AANAT	serotonin N-acetyltransferase	SNAT	Yes	No	Comparative Toxicogenomics Database:15, Ensembl:ENSG00000129673, GenAtlas:AANAT, GeneCard:AANAT, HGNC:HGNC:19, HumanCyc Gene:HS05303, ModBase:Q16613, NCBI Gene:15, OMIM:600950, RefSeq DNA:NG_015976, RefSeq DNA:NT_010783, RefSeq Protein:NP_001079, RefSeq Protein:NP_001160051, RefSeq RNA:NM_001088, RefSeq RNA:NM_001166579, UCSC Genome Browser:NM_001088, UniProtKB:Q16613	No	chr17	74449433	74466199	76453351	76470797
PA25753	25980	HGNC:15886	ENSG00000131043	AAR2 splicing factor	AAR2	AAR2 splicing factor homolog, AAR2 splicing factor homolog (S. cerevisiae)	C20orf4, bA234K24.2	Yes	No	Ensembl:ENSG00000131043, GenAtlas:C20orf4, GeneCard:C20orf4, HGNC:HGNC:15886, HumanCyc Gene:HS13367, ModBase:Q9Y312, NCBI Gene:25980, RefSeq DNA:NT_011362, RefSeq Protein:NP_056326, RefSeq RNA:NM_015511, UCSC Genome Browser:NM_015511, UniProtKB:Q9Y312	No	chr20	34824339	34844863	36236136	36256941
PA164717502	441376	HGNC:33842	ENSG00000205002	alanine and arginine rich domain containing protein	AARD	Alanine and arginine-rich domain-containing protein	C8orf85, LOC441376	Yes	No	Ensembl:ENSG00000205002, GeneCard:C8orf85, HGNC:HGNC:33842, NCBI Gene:441376, RefSeq DNA:NT_008046, RefSeq Protein:NP_001020528, RefSeq RNA:NM_001025357, UniProtKB:B2RU19, UniProtKB:Q4LEZ3	No	chr8	117950464	117956239	116937960	116944000
PA24367	16	HGNC:20		alanyl-tRNA synthetase 1	AARS1	"""alanine tRNA ligase 1, cytoplasmic"", ""alanyl-tRNA synthetase"""	AARS, AlaRS, CMT2N	Yes	No	Comparative Toxicogenomics Database:16, GenAtlas:AARS, GeneCard:AARS, HGNC:HGNC:20, HumanCyc Gene:HS01706, ModBase:P49588, NCBI Gene:16, OMIM:601065, OMIM:613287, RefSeq DNA:NG_023191, RefSeq DNA:NT_010498, RefSeq Protein:NP_001596, RefSeq RNA:NM_001605, UCSC Genome Browser:NM_001605, UniProtKB:P49588	No	chr16	70286198	70323452	70252295	70289552
PA162375129	57505	HGNC:21022	ENSG00000124608	alanyl-tRNA synthetase 2, mitochondrial	AARS2	alanine tRNA ligase 2, mitochondrial	AARSL, KIAA1270, bA444E17.1	Yes	No	Ensembl:ENSG00000124608, GeneCard:AARS2, HGNC:HGNC:21022, ModBase:Q5JTZ9, NCBI Gene:57505, OMIM:612035, RefSeq DNA:NT_007592, RefSeq Protein:NP_065796, RefSeq RNA:NM_020745, UniProtKB:Q5JTZ9	No	chr6	44266463	44281094	44297850	44313358
PA142670464	80755	HGNC:28417	ENSG00000266967	alanyl-tRNA synthetase domain containing 1	AARSD1		AlaXp, MGC2744	Yes	No	Comparative Toxicogenomics Database:80755, Ensembl:ENSG00000266967, GeneCard:AARSD1, HGNC:HGNC:28417, HumanCyc Gene:HS03163, NCBI Gene:80755, OMIM:613212, RefSeq DNA:NT_010783, RefSeq Protein:NP_001129514, RefSeq Protein:NP_001136125, RefSeq Protein:NP_001136126, RefSeq Protein:NP_079543, RefSeq RNA:NM_001136042, RefSeq RNA:NM_001142653, RefSeq RNA:NM_001142654, RefSeq RNA:NM_025267, UniProtKB:B4DI73, UniProtKB:B9A003, UniProtKB:Q9BTE6	No	chr17	41102543	41116515	42950526	42964498
PA162375178	132949	HGNC:23993	ENSG00000157426	aminoadipate-semialdehyde dehydrogenase	AASDH	Beta-alanine-activating enzyme, acyl-CoA synthetase family member 4	ACSF4, LYS2, NRPS998	Yes	No	Ensembl:ENSG00000157426, GeneCard:AASDH, HGNC:HGNC:23993, NCBI Gene:132949, RefSeq DNA:NT_022853, RefSeq Protein:NP_861522, RefSeq RNA:NM_181806, UniProtKB:Q4L235	No	chr4	57204450	57254265	56337687	56387677
